page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes
1,1,M100114591_SH2FDW_Custom_DTF_Crimson.png,M100114591 SH2FDW Custom DTF Crimson,tshirt/men,tshirt\men\M100114591_SH2FDW_Custom_DTF_Crimson.png,715d90d84e8ca06c55c4a919d56f36d7,18091
1,2,M100082512_SHRIDC_Rise_DTF_on_Crimson.png,M100082512 SHRIDC Rise DTF on Crimson,tshirt/men,tshirt\men\M100082512_SHRIDC_Rise_DTF_on_Crimson.png,467ed8514ab05078dc1ef5cfc8205ae7,19311
1,3,M100068897_SDNIET_Nietzsche_DTF_on_Crimson.png,M100068897 SDNIET Nietzsche DTF on Crimson,tshirt/men,tshirt\men\M100068897_SDNIET_Nietzsche_DTF_on_Crimson.png,1b960a27bb544b5320a7309b36b190e0,23499
1,4,M100083212_SDRENC_Renown_DTF_Crimson_or_Black.png,M100083212 SDRENC Renown DTF Crimson or Black,tshirt/men,tshirt\men\M100083212_SDRENC_Renown_DTF_Crimson_or_Black.png,9a03a4f35d95888606bed5c407b37f8e,21555
2,1,M100066812_SDARMC_Aristotle_DTF_on_Crimson.png,M100066812 SDARMC Aristotle DTF on Crimson,tshirt/men,tshirt\men\M100066812_SDARMC_Aristotle_DTF_on_Crimson.png,7e62044f7e88516af8cb8a04cd637047,20510
2,2,M100853866_SH2FDC_Built_by_DTFN_on_CrimsoBlack.png,M100853866 SH2FDC Built by DTFN on Crimso/Black,tshirt/men,tshirt\men\M100853866_SH2FDC_Built_by_DTFN_on_CrimsoBlack.png,e27e050d2332108f8ca27ff679d8579b,16970
2,3,M100085284_SHHODC_Hover_DTF_on_Black.png,M100085284 SHHODC Hover DTF on Black,tshirt/men,tshirt\men\M100085284_SHHODC_Hover_DTF_on_Black.png,b30232196651ecf041e112a83638ab56,29507
2,4,M100085023_SH2FDC_Full_Front_DTF_on_Black.png,M100085023 SH2FDC Full Front DTF on Black,tshirt/men,tshirt\men\M100085023_SH2FDC_Full_Front_DTF_on_Black.png,6dd917500b8a78eea32006c8b28af70a,30914
3,1,M101003169_SH2FDC_Crimson_A_DTFon_Black.png,M101003169 SH2FDC Crimson A DTFon Black,tshirt/men,tshirt\men\M101003169_SH2FDC_Crimson_A_DTFon_Black.png,34a3f3cb0558a4a592083345f048225a,15067
3,2,M100069466_SDFREG_Frege_DTF_on_Black.png,M100069466 SDFREG Frege DTF on Black,tshirt/men,tshirt\men\M100069466_SDFREG_Frege_DTF_on_Black.png,8fe32b0c0ab0632cc6c39c20f1c6d912,17154
3,3,M100113956_SDSOCR_Socrates_DTF_on_Black.png,M100113956 SDSOCR Socrates DTF on Black,tshirt/men,tshirt\men\M100113956_SDSOCR_Socrates_DTF_on_Black.png,30d3e6cb4c2cf5b2c48b75c6aba949ba,19407
3,4,M100084780_SHLJOB_Love_Jones_DTF_on_Black.png,M100084780 SHLJOB Love Jones DTF on Black,tshirt/men,tshirt\men\M100084780_SHLJOB_Love_Jones_DTF_on_Black.png,3b04efbcf157eca15377b3a94232a175,23357
4,1,M100853596_SH2FDC_Custom_Legends_DTF_on_Black.png,M100853596 SH2FDC Custom Legends DTF on Black,tshirt/men,tshirt\men\M100853596_SH2FDC_Custom_Legends_DTF_on_Black.png,61e67490814923e8e3881e3fd94218da,15038
4,2,M100114845_SH2FDS_Full_Front_DTF_on_SteelWhite.png,M100114845 SH2FDS Full Front DTF on Steel/White,tshirt/men,tshirt\men\M100114845_SH2FDS_Full_Front_DTF_on_SteelWhite.png,f1faa6740a37ab5bee16c62ab76ffb3f,29610
4,3,M100068034_SH2FDS_Full_Front_DTF_on_Steel.png,M100068034 SH2FDS Full Front DTF on Steel,tshirt/men,tshirt\men\M100068034_SH2FDS_Full_Front_DTF_on_Steel.png,74da2e49dc159d8b4525a1a0b4e04cc3,33197
4,4,M100068192_SH2FDS_Full_Front_Custom_DTF_on_Steel.png,M100068192 SH2FDS Full Front Custom DTF on Steel,tshirt/men,tshirt\men\M100068192_SH2FDS_Full_Front_Custom_DTF_on_Steel.png,fba36029f5da08603a8f0afba87ca9da,34573
5,1,M100068556_SDPLAS_Plato_DTF_on_SteelWhite.png,M100068556 SDPLAS Plato DTF on Steel/White,tshirt/men,tshirt\men\M100068556_SDPLAS_Plato_DTF_on_SteelWhite.png,ed6e64b94f2a06670f3888275f0b7302,34559
5,2,M100067959_SHFCDS_Final_Cut_DTF_on_Steel.png,M100067959 SHFCDS Final Cut DTF on Steel,tshirt/men,tshirt\men\M100067959_SHFCDS_Final_Cut_DTF_on_Steel.png,3fac23b20d107e73d68227a046a38958,32906
