page,image_index_on_page,filename,caption,category_subfolder,output_path
1,1,M102595496_SH2FDC_Custom_DTF_on_Maroon.png,M102595496 SH2FDC Custom DTF on Maroon,tshirt/men,tshirt\men\M102595496_SH2FDC_Custom_DTF_on_Maroon.png
1,2,M102035313_SDARTC_Artificer_DTF_on_Maroon.png,M102035313 SDARTC Artificer DTF on Maroon,tshirt/men,tshirt\men\M102035313_SDARTC_Artificer_DTF_on_Maroon.png
1,3,M102035595_SDBARC_Barbarian_DTF_on_Maroon.png,M102035595 SDBARC Barbarian DTF on Maroon,tshirt/men,tshirt\men\M102035595_SDBARC_Barbarian_DTF_on_Maroon.png
1,4,M102073024_SDBADC_Bard_DTF_on_Maroon.png,M102073024 SDBADC Bard DTF on Maroon,tshirt/men,tshirt\men\M102073024_SDBADC_Bard_DTF_on_Maroon.png
2,1,M102073197_SDCAVC_Cavalier_DTF_on_Maroon.png,M102073197 SDCAVC Cavalier DTF on Maroon,tshirt/men,tshirt\men\M102073197_SDCAVC_Cavalier_DTF_on_Maroon.png
2,2,M102073526_SDHUMC_Hunters_Mark_DTF_on_Maroon.png,M102073526 SDHUMC Hunters Mark DTF on Maroon,tshirt/men,tshirt\men\M102073526_SDHUMC_Hunters_Mark_DTF_on_Maroon.png
2,3,M102073929_SDMONC_Monk_DTF_on_Maroon.png,M102073929 SDMONC Monk DTF on Maroon,tshirt/men,tshirt\men\M102073929_SDMONC_Monk_DTF_on_Maroon.png
2,4,M102074324_SDROGC_Rogue_DTF_on_Maroon.png,M102074324 SDROGC Rogue DTF on Maroon,tshirt/men,tshirt\men\M102074324_SDROGC_Rogue_DTF_on_Maroon.png
3,1,M102074993_SH2FDC_Custom_DTF_on_Maroon.png,M102074993 SH2FDC Custom DTF on Maroon,tshirt/men,tshirt\men\M102074993_SH2FDC_Custom_DTF_on_Maroon.png
3,2,M102074682_SDWIZC_Wizard_DTF_on_Maroon.png,M102074682 SDWIZC Wizard DTF on Maroon,tshirt/men,tshirt\men\M102074682_SDWIZC_Wizard_DTF_on_Maroon.png
