page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes
1,1,M102595496_SH2FDC_Custom_DTF_on_Maroon.png,M102595496 SH2FDC Custom DTF on Maroon,tshirt/men,tshirt\men\M102595496_SH2FDC_Custom_DTF_on_Maroon.png,a05e8f30f6530bcd90df796f575c6ff5,33784
1,2,M103842644_SDOLAC_Overlay_DTF_on_Maroon.png,M103842644 SDOLAC Overlay DTF on Maroon,tshirt/men,tshirt\men\M103842644_SDOLAC_Overlay_DTF_on_Maroon.png,a51676d17e0bad9d54561a5083c6e0fd,40867
1,3,M102035313_SDARTC_Artificer_DTF_on_Maroon.png,M102035313 SDARTC Artificer DTF on Maroon,tshirt/men,tshirt\men\M102035313_SDARTC_Artificer_DTF_on_Maroon.png,7063041f15face1044159e33da725e15,23876
1,4,M102035595_SDBARC_Barbarian_DTF_on_Maroon.png,M102035595 SDBARC Barbarian DTF on Maroon,tshirt/men,tshirt\men\M102035595_SDBARC_Barbarian_DTF_on_Maroon.png,bd5a04d4ed668767578a24fa8e900ce0,23330
2,1,M102073024_SDBADC_Bard_DTF_on_Maroon.png,M102073024 SDBADC Bard DTF on Maroon,tshirt/men,tshirt\men\M102073024_SDBADC_Bard_DTF_on_Maroon.png,9c45a5b479e9183b5ead6109ce000d88,20725
2,2,M102073197_SDCAVC_Cavalier_DTF_on_Maroon.png,M102073197 SDCAVC Cavalier DTF on Maroon,tshirt/men,tshirt\men\M102073197_SDCAVC_Cavalier_DTF_on_Maroon.png,51cb7ee759efffdcfd83af74fd32d0e2,21564
2,3,M102073526_SDHUMC_Hunters_Mark_DTF_on_Maroon.png,M102073526 SDHUMC Hunters Mark DTF on Maroon,tshirt/men,tshirt\men\M102073526_SDHUMC_Hunters_Mark_DTF_on_Maroon.png,9e77ad0e8bdc5f96188153039ac2c717,22292
2,4,M102073929_SDMONC_Monk_DTF_on_Maroon.png,M102073929 SDMONC Monk DTF on Maroon,tshirt/men,tshirt\men\M102073929_SDMONC_Monk_DTF_on_Maroon.png,b387e5d2c85881e4f29890fa5031c62d,22726
3,1,M102074324_SDROGC_Rogue_DTF_on_Maroon.png,M102074324 SDROGC Rogue DTF on Maroon,tshirt/men,tshirt\men\M102074324_SDROGC_Rogue_DTF_on_Maroon.png,27ce2c9682c1a5e2d8a1f4b0b4b34202,24643
3,2,M103954586_SH2FDC_Custom_Forks_Up_DTF_on_Maroon.png,M103954586 SH2FDC Custom Forks Up DTF on Maroon,tshirt/men,tshirt\men\M103954586_SH2FDC_Custom_Forks_Up_DTF_on_Maroon.png,208f4e64a61f249625cab046e0f6d1b9,32069
3,3,M102074993_SH2FDC_Custom_DTF_on_Maroon.png,M102074993 SH2FDC Custom DTF on Maroon,tshirt/men,tshirt\men\M102074993_SH2FDC_Custom_DTF_on_Maroon.png,bc79a39cbcebac744df78fc539ffe371,22500
3,4,M102074682_SDWIZC_Wizard_DTF_on_Maroon.png,M102074682 SDWIZC Wizard DTF on Maroon,tshirt/men,tshirt\men\M102074682_SDWIZC_Wizard_DTF_on_Maroon.png,09f03fbd97cab5378d06719a9f522ad4,22366
4,1,M102074553_SDWALC_Warlock_DTF_on_Maroon.png,M102074553 SDWALC Warlock DTF on Maroon,tshirt/men,tshirt\men\M102074553_SDWALC_Warlock_DTF_on_Maroon.png,0bda9dbffb71b4c1c23f251b4381db17,21442
4,2,M102298135_SDBMCC_Battle_Master_DTF_on_Maroon.png,M102298135 SDBMCC Battle Master DTF on Maroon,tshirt/men,tshirt\men\M102298135_SDBMCC_Battle_Master_DTF_on_Maroon.png,3314c56d2817dd853a15f704d8952b81,21073
4,3,M102075015_SH2FDC_Custom_DTF_on_Maroon.png,M102075015 SH2FDC Custom DTF on Maroon,tshirt/men,tshirt\men\M102075015_SH2FDC_Custom_DTF_on_Maroon.png,60f0e94b6c590def50c9fd71f7f23b92,23125
4,4,M103824115_SDARMB_Aristotle_DTF_on_Black.png,M103824115 SDARMB Aristotle DTF on Black,tshirt/men,tshirt\men\M103824115_SDARMB_Aristotle_DTF_on_Black.png,63224b3c20f466c5abf621d7575122ce,19892
5,1,M103824252_SDMONB_Monk_DTF_on_Black.png,M103824252 SDMONB Monk DTF on Black,tshirt/men,tshirt\men\M103824252_SDMONB_Monk_DTF_on_Black.png,2ee5a95474faf66ca69361b76d95b20e,22360
5,2,M102593538_SDNIEB_Nietzsche_DTF_on_Black.png,M102593538 SDNIEB Nietzsche DTF on Black,tshirt/men,tshirt\men\M102593538_SDNIEB_Nietzsche_DTF_on_Black.png,324cfcfa90f5c1ef7f56868f58651321,24484
5,3,M103954653_SH2FDC_Custom_Forks_Up_DTF_on_Black.png,M103954653 SH2FDC Custom Forks Up DTF on Black,tshirt/men,tshirt\men\M103954653_SH2FDC_Custom_Forks_Up_DTF_on_Black.png,bbd9ca10fbfd3a7d4faa3422a03c0e46,33928
5,4,M103826167_SDDRUB_Druid_DTF_on_Black.png,M103826167 SDDRUB Druid DTF on Black,tshirt/men,tshirt\men\M103826167_SDDRUB_Druid_DTF_on_Black.png,3d33dce51173722c66d606a69e22eb77,19689
6,1,M102595122_SDWALC_Warlock_DTF_on_Black.png,M102595122 SDWALC Warlock DTF on Black,tshirt/men,tshirt\men\M102595122_SDWALC_Warlock_DTF_on_Black.png,ef77ea212adea587d70500737ac98fc5,20553
6,2,M102593327_SDBMCC_Battle_Master_DTF_on_Black.png,M102593327 SDBMCC Battle Master DTF on Black,tshirt/men,tshirt\men\M102593327_SDBMCC_Battle_Master_DTF_on_Black.png,8f8d11d4cf5e515e18cca6de5a5dd905,20099
6,3,M103725725_SH2FDC_Custom_Cavalier_DTF_on_Black.png,M103725725 SH2FDC Custom Cavalier DTF on Black,tshirt/men,tshirt\men\M103725725_SH2FDC_Custom_Cavalier_DTF_on_Black.png,6265d79b0da296c321f3b44d01d7b0a7,20078
6,4,M102687033_SH2FDC_Custom_DTF_on_Gold.png,M102687033 SH2FDC Custom DTF on Gold,tshirt/men,tshirt\men\M102687033_SH2FDC_Custom_DTF_on_Gold.png,3d8096004db3f869e2ed277d9115f595,25176
7,1,M102520049_SH2FDC_Custom_DTF_on_Gold.png,M102520049 SH2FDC Custom DTF on Gold,tshirt/men,tshirt\men\M102520049_SH2FDC_Custom_DTF_on_Gold.png,ffaafa49163363dabc1ee177fd6554a5,29757
7,2,M102518813_SDBARC_Barbarian_DTF_on_Gold.png,M102518813 SDBARC Barbarian DTF on Gold,tshirt/men,tshirt\men\M102518813_SDBARC_Barbarian_DTF_on_Gold.png,ea97cea4546c9a237fd7d08e048d7122,31352
7,3,M102518793_SDMONC_Monk_DTF_on_Gold.png,M102518793 SDMONC Monk DTF on Gold,tshirt/men,tshirt\men\M102518793_SDMONC_Monk_DTF_on_Gold.png,aefbf09c29734dec22e5e4d503210e99,29468
7,4,M103842779_SH2FDS_Custom_Forks_Up_DTF_on_Gold.png,M103842779 SH2FDS Custom Forks Up DTF on Gold,tshirt/men,tshirt\men\M103842779_SH2FDS_Custom_Forks_Up_DTF_on_Gold.png,be6ddbb975a4d1d55e4d2c353e3b43fe,34216
8,1,M103347282_SH2FDS_Custom_DTF_on_White_or_Steel.png,M103347282 SH2FDS Custom DTF on White or Steel,tshirt/men,tshirt\men\M103347282_SH2FDS_Custom_DTF_on_White_or_Steel.png,57419cf60251f59ab80d64a35bf128ca,18174
8,2,M103847986_SH2FDS_Forks_Up_DTF_on_Steel_or_White.png,M103847986 SH2FDS Forks Up DTF on Steel or White,tshirt/men,tshirt\men\M103847986_SH2FDS_Forks_Up_DTF_on_Steel_or_White.png,cec6fc8225158bd0b1c8f30395817017,40925
8,3,M103347352_SDBARS_Barbarian_DTF_on_Steel.png,M103347352 SDBARS Barbarian DTF on Steel,tshirt/men,tshirt\men\M103347352_SDBARS_Barbarian_DTF_on_Steel.png,8296dba5e411648ce1e6ff21149840be,35158
8,4,M102073642_SDFIGS_Fighter_DTF_on_Steel.png,M102073642 SDFIGS Fighter DTF on Steel,tshirt/men,tshirt\men\M102073642_SDFIGS_Fighter_DTF_on_Steel.png,c6ea502640887566c20e496f4533ce74,32690
9,1,M102073413_SDDRUS_Druid_DTF_on_Steel.png,M102073413 SDDRUS Druid DTF on Steel,tshirt/men,tshirt\men\M102073413_SDDRUS_Druid_DTF_on_Steel.png,f8fa557308b5ec509b888ab62bed15e8,32678
9,2,M102074265_SDMUCS_Multiclass_DTF_on_Steel.png,M102074265 SDMUCS Multiclass DTF on Steel,tshirt/men,tshirt\men\M102074265_SDMUCS_Multiclass_DTF_on_Steel.png,4a0e20919b6bb9715fd6b1d5f79be5c5,32060
9,3,M102133353_SH2FDS_Custom_DTF_on_Steel.png,M102133353 SH2FDS Custom DTF on Steel,tshirt/men,tshirt\men\M102133353_SH2FDS_Custom_DTF_on_Steel.png,064a1dd7888ee13bd692e0364a4e45fb,31385
9,4,M102133445_SH2FDS_Custom_DTF_on_Steel.png,M102133445 SH2FDS Custom DTF on Steel,tshirt/men,tshirt\men\M102133445_SH2FDS_Custom_DTF_on_Steel.png,75fca9ebac672ff80f4e473fbd7aa5ce,30075
10,1,M102073749_SDMAIC_Jr_Magician_DTF_on_Maroon.png,M102073749 SDMAIC Jr Magician DTF on Maroon,tshirt/women,tshirt\women\M102073749_SDMAIC_Jr_Magician_DTF_on_Maroon.png,86f690c57e45c28fc38de00297f4ec57,19819
