page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
1,1,M101195937_SH2FDW_Custom_DTF_on_Cardinal.png,M101195937 SH2FDW Custom DTF on Cardinal,tshirt/men,tshirt\men\M101195937_SH2FDW_Custom_DTF_on_Cardinal.png,c1aca23ab4901740397d37fafb04fb92,289883,False
1,2,M101196087_SH2FDW_Custom_DTF_on_Cardinal.png,M101196087 SH2FDW Custom DTF on Cardinal,tshirt/men,tshirt\men\M101196087_SH2FDW_Custom_DTF_on_Cardinal.png,e4b37f29f92d6756ad95c953465f3c26,289998,False
1,3,M101196178_SH2FDW_Custom_DTF_on_Cardinal.png,M101196178 SH2FDW Custom DTF on Cardinal,tshirt/men,tshirt\men\M101196178_SH2FDW_Custom_DTF_on_Cardinal.png,307fdd5b21e1b537223eaa0e95ef04bb,280881,False
1,4,M101196357_SH2FDW_Custom_DTF_on_Cardinal.png,M101196357 SH2FDW Custom DTF on Cardinal,tshirt/men,tshirt\men\M101196357_SH2FDW_Custom_DTF_on_Cardinal.png,c3e544a547c96465cc2bd70eeade9cb9,281968,False
2,1,M205585435_SDBLPC_Bootlegger_DTF_on_Cardinal.png,M205585435 SDBLPC Bootlegger DTF on Cardinal,tshirt/men,tshirt\men\M205585435_SDBLPC_Bootlegger_DTF_on_Cardinal.png,a46c11a802d49d83296abfea45704af7,295519,False
2,2,M205585584_SDHUMW_Hunters_Mark_on_Cardinal.png,M205585584 SDHUMW Hunter's Mark on Cardinal,tshirt/men,tshirt\men\M205585584_SDHUMW_Hunters_Mark_on_Cardinal.png,421210c54261f6b97ee8755cbde21a47,297558,False
2,3,M205585727_SDDDMB_Dime_Defense_DTF_on_Black.png,M205585727 SDDDMB Dime Defense DTF on Black,tshirt/men,tshirt\men\M205585727_SDDDMB_Dime_Defense_DTF_on_Black.png,49a0178019653f1b9ea56662fe2e22b7,259155,False
2,4,M205585830_SDWSMB_Wheelspin_DTF_on_Black.png,M205585830 SDWSMB Wheelspin DTF on Black,tshirt/men,tshirt\men\M205585830_SDWSMB_Wheelspin_DTF_on_Black.png,3fa3cef2a96909f231cdaef77b79c92a,301902,False
3,1,M100785213_SH2FDC_Custom_DTF_on_Black.png,M100785213 SH2FDC Custom DTF on Black,tshirt/men,tshirt\men\M100785213_SH2FDC_Custom_DTF_on_Black.png,67d894054d9c68d41ca5a6eba1d265d5,246083,False
3,2,M103307111_SDWIZC_Wizard_DTF_on_Black.png,M103307111 SDWIZC Wizard DTF on Black,tshirt/men,tshirt\men\M103307111_SDWIZC_Wizard_DTF_on_Black.png,d29517a7d6818745303a4a11071edd78,277496,False
