page,image_index_on_page,filename,caption,category_subfolder,output_path
1,1,M100430257_SH2FDW_Custom_Spartan_DTFN_on_Forest.png,M100430257 SH2FDW Custom Spartan DTFN on Forest,tshirt/men,tshirt\men\M100430257_SH2FDW_Custom_Spartan_DTFN_on_Forest.png
1,2,M100430821_SH2FDW_Custom_S_DTFN_on_Forest.png,M100430821 SH2FDW Custom S DTFN on Forest,tshirt/men,tshirt\men\M100430821_SH2FDW_Custom_S_DTFN_on_Forest.png
1,3,M100432187_SDFREG_Frege_DTF_on_Forest.png,M100432187 SDFREG Frege DTF on Forest,tshirt/men,tshirt\men\M100432187_SDFREG_Frege_DTF_on_Forest.png
1,4,M100431261_SDRENC_Renown_Mascot_DTF_on_Forest.png,M100431261 SDRENC Renown Mascot DTF on Forest,tshirt/men,tshirt\men\M100431261_SDRENC_Renown_Mascot_DTF_on_Forest.png
2,1,M101010777_SH2FDC_Custom_Go_Green_DTF_of_Forest.png,M101010777 SH2FDC Custom Go Green DTF of Forest,tshirt/men,tshirt\men\M101010777_SH2FDC_Custom_Go_Green_DTF_of_Forest.png
2,2,M100437896_SHOUDC_Over_Under_DTF_on_Forest.png,M100437896 SHOUDC Over Under DTF on Forest,tshirt/men,tshirt\men\M100437896_SHOUDC_Over_Under_DTF_on_Forest.png
2,3,M100482538_SHHODC_Hover_DTF_on_Black_or_Forest.png,M100482538 SHHODC Hover DTF on Black or Forest,tshirt/men,tshirt\men\M100482538_SHHODC_Hover_DTF_on_Black_or_Forest.png
2,4,M100965414_SHOUDC_OU_Go_Green_DTF_on_Forest.png,M100965414 SHOUDC OU Go Green DTF on Forest,tshirt/men,tshirt\men\M100965414_SHOUDC_OU_Go_Green_DTF_on_Forest.png
3,1,M100965141_SHDCDW_Dad_Club_DTF_on_Forest.png,M100965141 SHDCDW Dad Club DTF on Forest,tshirt/men,tshirt\men\M100965141_SHDCDW_Dad_Club_DTF_on_Forest.png
3,2,M100965024_SHDCDS_Dad_Club_DTF_on_Steel.png,M100965024 SHDCDS Dad Club DTF on Steel,tshirt/men,tshirt\men\M100965024_SHDCDS_Dad_Club_DTF_on_Steel.png
3,3,M101005933_SDOLAS_Overlay_DTF_on_Steel.png,M101005933 SDOLAS Overlay DTF on Steel,tshirt/men,tshirt\men\M101005933_SDOLAS_Overlay_DTF_on_Steel.png
3,4,M100435821_SH2FDS_Custom_State_DTF_on_Steel.png,M100435821 SH2FDS Custom State DTF on Steel,tshirt/men,tshirt\men\M100435821_SH2FDS_Custom_State_DTF_on_Steel.png
4,1,M100435370_SDVECS_Vector_DTF_on_Steel.png,M100435370 SDVECS Vector DTF on Steel,tshirt/men,tshirt\men\M100435370_SDVECS_Vector_DTF_on_Steel.png
