page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
1,1,M103287148_SH2FDC_Custom_DTF_on_Kelly_Green.png,M103287148 SH2FDC Custom DTF on Kelly Green,tshirt/men,tshirt\men\M103287148_SH2FDC_Custom_DTF_on_Kelly_Green.png,d9f8b809e8f1b53d3c6896ee7d089260,24094,False
1,2,M103287376_SDNIET_Nietzsche_DTF_on_Kelly_Green.png,M103287376 SDNIET Nietzsche DTF on Kelly Green,tshirt/men,tshirt\men\M103287376_SDNIET_Nietzsche_DTF_on_Kelly_Green.png,4c1210f95eb6338be477b1682377c3f1,27011,False
1,3,M104167110_SDAOMC_Alley_Oop_DTF_on_Black.png,M104167110 SDAOMC Alley Oop DTF on Black,tshirt/men,tshirt\men\M104167110_SDAOMC_Alley_Oop_DTF_on_Black.png,0d5ca3d64c6ddb41bbcd1aa1fb07645a,23096,False
1,4,M104183894_SDBBMS_Buzzer_Beater_DTF_on_Black.png,M104183894 SDBBMS Buzzer Beater DTF on Black,tshirt/men,tshirt\men\M104183894_SDBBMS_Buzzer_Beater_DTF_on_Black.png,1edb4c354d8360ff75a8436bdc8a0a96,21800,False
2,1,M104172760_SDWSMS_Wheel_Spin_DTF_on_Charcoal.png,M104172760 SDWSMS Wheel Spin DTF on Charcoal,tshirt/men,tshirt\men\M104172760_SDWSMS_Wheel_Spin_DTF_on_Charcoal.png,20e1c16338a1a9286da3cb63cbf2a2b6,23931,False
2,2,M104171988_SDDDMS_Dime_Defense_DTF_on_Charcoal.png,M104171988 SDDDMS Dime Defense DTF on Charcoal,tshirt/men,tshirt\men\M104171988_SDDDMS_Dime_Defense_DTF_on_Charcoal.png,3540d90c2539fb06c80401b2ee18399a,22369,False
2,3,M103287462_SH2FDS_Custom_DTF_on_Steel.png,M103287462 SH2FDS Custom DTF on Steel,tshirt/men,tshirt\men\M103287462_SH2FDS_Custom_DTF_on_Steel.png,53a1361be052ab572c5b53b67eca6b90,31584,False
2,4,M103287559_SDFLNS_Flinch_DTF_on_Steel.png,M103287559 SDFLNS Flinch DTF on Steel,tshirt/men,tshirt\men\M103287559_SDFLNS_Flinch_DTF_on_Steel.png,83b361e2fae1fbdae4630d98335f97bc,35557,False
3,1,M104167839_SDHMAS_Hail_Mary_DTF_on_White.png,M104167839 SDHMAS Hail Mary DTF on White,tshirt/men,tshirt\men\M104167839_SDHMAS_Hail_Mary_DTF_on_White.png,5bed5c99e201771fd22e5dc565e5e545,18702,False
3,2,M104167646_SDSMMS_Sixth_Man_DTF_on_White.png,M104167646 SDSMMS Sixth Man DTF on White,tshirt/men,tshirt\men\M104167646_SDSMMS_Sixth_Man_DTF_on_White.png,4a2f33741c7eb5dd1cbc0c8bb0fa0370,23339,False
