page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
1,1,M89672118_SH2FDC_Custom_WV_DTF_Logo_on_Navy.png,M89672118 SH2FDC Custom WV DTF Logo on Navy,tshirt/men,tshirt\men\M89672118_SH2FDC_Custom_WV_DTF_Logo_on_Navy.png,a4285c339fe743dc71a6bc0539fe3ac2,30354,False
1,2,M89672286_SH2FDC_Custom_DTF_Logo_on_Navy.png,M89672286 SH2FDC Custom DTF Logo on Navy,tshirt/men,tshirt\men\M89672286_SH2FDC_Custom_DTF_Logo_on_Navy.png,3ad630af41027d5bb919ac49782bc767,21048,False
1,3,M89755682_SH2FDC_Country_Roads_DTF_Logo_on_Navy.png,M89755682 SH2FDC Country Roads DTF Logo on Navy,tshirt/men,tshirt\men\M89755682_SH2FDC_Country_Roads_DTF_Logo_on_Navy.png,303318f927423cc7991fb7afd542e68f,24732,False
1,4,M205580982_SDFBMC_Fast_Break_DTF_on_Navy.png,M205580982 SDFBMC Fast Break DTF on Navy,tshirt/men,tshirt\men\M205580982_SDFBMC_Fast_Break_DTF_on_Navy.png,1018b4364a55447ea9c9cd2a48bb052c,25691,False
2,1,M104022840_SDFOFC_Fork_DTF_on_Navy.png,M104022840 SDFOFC Fork DTF on Navy,tshirt/men,tshirt\men\M104022840_SDFOFC_Fork_DTF_on_Navy.png,bf8f802d2658bffbe11f97b95ac9adaf,29931,False
2,2,M205581290_SDSMMC_Sixth_Man_DTF_on_Navy.png,M205581290 SDSMMC Sixth Man DTF on Navy,tshirt/men,tshirt\men\M205581290_SDSMMC_Sixth_Man_DTF_on_Navy.png,41412f76bc3e2cce5b6668dc42fcf838,22586,False
2,3,M90689127_SDCOCC_Open_Country_DTF_on_Navy.png,M90689127 SDCOCC Open Country DTF on Navy,tshirt/men,tshirt\men\M90689127_SDCOCC_Open_Country_DTF_on_Navy.png,623d9f05b74d0f9564168d18eb4b19a9,22418,False
2,4,M90688296_SDCNAC_Nation_Mascot_DTF_on_Navy.png,M90688296 SDCNAC Nation Mascot DTF on Navy,tshirt/men,tshirt\men\M90688296_SDCNAC_Nation_Mascot_DTF_on_Navy.png,3815ad13914dc8c9d8e70578502181bf,22479,False
3,1,M89755583_SH2FDC_WV_DTF_State_Outline_on_Navy.png,M89755583 SH2FDC WV DTF State Outline on Navy,tshirt/men,tshirt\men\M89755583_SH2FDC_WV_DTF_State_Outline_on_Navy.png,5d5295cb67bf315d0c47af1ff448574c,20331,False
3,2,M89692348_SDKIER_Kierkegaard_DTF_on_Navy.png,M89692348 SDKIER Kierkegaard DTF on Navy,tshirt/men,tshirt\men\M89692348_SDKIER_Kierkegaard_DTF_on_Navy.png,067f9f9688cd4e89201300473924ca90,21772,False
